Liberal,Conservative,sentiment,Green,Libertarian,twitter_engagement,date,time
0.1829162836,0.2088615298,0.8391978145,0.4222026765,0.1860195994,0.6725763714,04-03-2018,21:49:14
0.177358374,0.1690550596,0.8353221416,0.4798216224,0.1737650633,0.5463894681,04-03-2018,19:59:40
0.3043627441,0.2137926817,0.8903760314,0.1335199475,0.3483246565,0.6530475294,04-03-2018,19:15:42
0.2253675759,0.1298428774,0.2870310843,0.2974643707,0.3473251462,0.5665884423,04-03-2018,13:55:37
0.1376232058,0.4201308787,0.914146781,0.1027635783,0.3394823372,0.6239595299,04-03-2018,11:08:51
0.2974521816,0.1719567776,0.097072795,0.2079426944,0.3226483464,0.6268896509,04-03-2018,10:58:30
0.1293142587,0.236282602,0.6236010194,0.1723596901,0.4620434046,0.6832567495,04-03-2018,10:49:07
0.1144205108,0.2717832327,0.4124943316,0.1211165115,0.4926796854,0.638346403,04-03-2018,10:34:18
0.1925573796,0.1997220963,0.3977153897,0.4079886079,0.1997318715,0.4933157959,04-03-2018,02:03:18
0.154135257,0.4071192145,0.2763380706,0.1800086349,0.258736968,0.5823473713,04-03-2018,00:34:48
0.0745050833,0.0868799388,0.0136729414,0.7358947396,0.1027202457,0.62084001,04-03-2018,00:24:01
0.0659352392,0.0518403798,0.9221498966,0.0560416952,0.8261826634,0.6897593963,04-03-2018,00:12:03
0.0808431432,0.409810245,0.0231491085,0.011497939,0.4978487492,0.6067420799,04-03-2018,00:00:58
0.1842639893,0.1777833998,0.5519114733,0.4575150609,0.1804376543,0.4320997943,04-02-2018,16:38:29
0.1854670048,0.2280468494,0.798047483,0.4153293669,0.1711567938,0.542706187,04-02-2018,15:41:04
0.194971025,0.1902547777,0.4219433367,0.3086741567,0.3061000407,0.598914172,04-02-2018,13:58:00
0.1320744455,0.2589793205,0.2755967677,0.0783255473,0.5306206346,0.6189965316,04-02-2018,13:35:03
0.2415801883,0.3444059789,0.681004703,0.1303032935,0.2837106287,0.6078877297,04-02-2018,13:28:42
0.1013170108,0.6376553774,0.1971196979,0.0124797858,0.2485478371,0.6912490676,04-02-2018,13:08:47
